"Year","Country","Life_Expectancy_Overall","Life_Expectancy_Male","Life_Expectancy_Female","Total_Fertility_Rate","Subregion","Region"
2022,"Sao Tome and Principe",67.06,65.44,68.72,3.564,"Middle Africa","Africa"
2002,"Saudi Arabia",72.48,71.17,73.84,3.6776,"Western Asia","Asia"
2022,"Saudi Arabia",76.65,75.07,78.32,1.9182,"Western Asia","Asia"
2002,"Senegal",57.96,56.35,59.64,5.538,"Western Africa","Africa"
2022,"Senegal",69.96,68.23,71.77,4.272,"Western Africa","Africa"
2002,"Serbia",72.37,69.68,75.22,1.5583,"Southern Europe","Europe"
2022,"Serbia",74.17,71.5,77,1.4591,"Southern Europe","Europe"
2002,"Seychelles",69.84,64.96,74.88,2.1204,"Eastern Africa","Africa"
2022,"Seychelles",76.1,71.67,80.66,1.818,"Eastern Africa","Africa"
2002,"Sierra Leone",44.71,43.54,45.92,5.7938,"Western Africa","Africa"
2022,"Sierra Leone",58.76,57.16,60.41,3.802,"Western Africa","Africa"
2002,"Singapore",80.11,77.81,82.52,1.37,"South-Eastern Asia","Asia"
2022,"Singapore",86.35,83.65,89.2,1.1573,"South-Eastern Asia","Asia"
2002,"Sint Maarten",74.83,72.7,77.07,1.5479,"Caribbean","Americas"
2022,"Sint Maarten",79.26,76.91,81.73,1.9943,"Caribbean","Americas"
2002,"Slovakia",73.68,69.76,77.79,1.1795,"Eastern Europe","Europe"
2022,"Slovakia",76.01,72.48,79.78,1.6005,"Eastern Europe","Europe"
2002,"Slovenia",76.55,72.76,80.59,1.1962,"Southern Europe","Europe"
2022,"Slovenia",81.82,78.96,84.79,1.5952,"Southern Europe","Europe"
2002,"Solomon Islands",71.84,69.39,74.41,4.426,"Melanesia","Oceania"
2022,"Solomon Islands",76.7,74.05,79.49,2.87,"Melanesia","Oceania"
2002,"Somalia",47.12,45.48,48.82,7.046,"Eastern Africa","Africa"
2022,"Somalia",55.72,53.39,58.12,5.3138,"Eastern Africa","Africa"
2002,"South Africa",60.4,59.44,61.38,2.45,"Southern Africa","Africa"
2022,"South Africa",70.06,68.44,71.7,2.344,"Southern Africa","Africa"
2002,"South Sudan",NA,NA,NA,NA,"Northern Africa","Africa"
2022,"South Sudan",59.16,57.43,60.97,5.315,"Northern Africa","Africa"
2002,"Spain",79.58,76.28,83.08,1.2424,"Southern Europe","Europe"
2022,"Spain",82.55,79.84,85.4,1.2711,"Southern Europe","Europe"
2002,"Sri Lanka",73.55,69.43,77.84,2.3807,"South-Central Asia","Asia"
2022,"Sri Lanka",76.46,73.41,79.66,2.156,"South-Central Asia","Asia"
2002,"Sudan",NA,NA,NA,NA,"Northern Africa","Africa"
2022,"Sudan",67.12,64.89,69.46,4.5988,"Northern Africa","Africa"
2002,"Suriname",69.2,67.1,71.44,2.7414,"South America","Americas"
2022,"Suriname",72.42,68.81,76.27,1.924,"South America","Americas"
2002,"Sweden",79.98,77.88,82.31,1.6582,"Northern Europe","Europe"
2022,"Sweden",82.7,80.94,84.58,1.6666,"Northern Europe","Europe"
2002,"Switzerland",80.38,77.77,83.15,1.3656,"Western Europe","Europe"
2022,"Switzerland",83.7,81.77,85.73,1.5847,"Western Europe","Europe"
2002,"Syria",NA,NA,NA,NA,"Western Asia","Asia"
2022,"Syria",74.28,72.82,75.84,2.796,"Western Asia","Asia"
2002,"Taiwan",77.28,74.58,80.24,1.34,"Eastern Asia","Asia"
2022,"Taiwan",81.16,78.17,84.34,1.083,"Eastern Asia","Asia"
2002,"Tajikistan",63.22,61.36,65.17,3.471,"South-Central Asia","Asia"
2022,"Tajikistan",70.32,68.41,72.32,3.6375,"South-Central Asia","Asia"
2002,"Tanzania",55.31,54.37,56.28,5.4089,"Eastern Africa","Africa"
2022,"Tanzania",70.19,68.42,72.02,4.39,"Eastern Africa","Africa"
2002,"Thailand",72.06,69,75.28,1.6549,"South-Eastern Asia","Asia"
2022,"Thailand",77.66,74.65,80.83,1.5394,"South-Eastern Asia","Asia"
2002,"Timor-Leste",60.79,59.37,62.31,7.3999,"South-Eastern Asia","Asia"
2022,"Timor-Leste",69.92,68.25,71.7,4.2081,"South-Eastern Asia","Asia"
2002,"Togo",61.56,59.4,63.77,5.1945,"Western Africa","Africa"
2022,"Togo",71.36,68.76,74.03,4.23,"Western Africa","Africa"
2002,"Tonga",73.78,72.59,75,4.3831,"Polynesia","Oceania"
2022,"Tonga",77.53,75.89,79.23,2.758,"Polynesia","Oceania"
2002,"Trinidad and Tobago",71.26,69.75,72.81,1.5688,"Caribbean","Americas"
2022,"Trinidad and Tobago",75.94,74.02,77.93,1.63,"Caribbean","Americas"
2002,"Tunisia",73.06,71.75,74.48,2.0367,"Northern Africa","Africa"
2022,"Tunisia",76.82,75.14,78.6,1.996,"Northern Africa","Africa"
2002,"Turkey",70.67,68.82,72.61,2.4345,"Western Asia","Asia"
2022,"Turkey",76.21,73.84,78.7,1.928,"Western Asia","Asia"
2002,"Turkmenistan",65.48,62.66,68.45,2.62,"South-Central Asia","Asia"
2022,"Turkmenistan",71.83,68.8,75,2.032,"South-Central Asia","Asia"
2002,"Turks and Caicos Islands",78.81,76.01,81.75,2.5057,"Caribbean","Americas"
2022,"Turks and Caicos Islands",80.82,78.07,83.71,1.7,"Caribbean","Americas"
2002,"Tuvalu",61.58,59.67,63.58,3.4767,"Polynesia","Oceania"
2022,"Tuvalu",68.38,65.96,70.92,2.832,"Polynesia","Oceania"
2002,"Uganda",51.11,50.06,52.18,7.0179,"Eastern Africa","Africa"
2022,"Uganda",68.96,66.71,71.27,5.356,"Eastern Africa","Africa"
2002,"Ukraine",68.07,62.56,73.93,1.1251,"Eastern Europe","Europe"
2022,"Ukraine",69.07,63.5,75,1.2182,"Eastern Europe","Europe"
2002,"United Arab Emirates",76.34,74.97,77.75,2.469,"Western Asia","Asia"
2022,"United Arab Emirates",79.56,78.21,80.99,1.6356,"Western Asia","Asia"
2002,"United Kingdom",78.11,75.84,80.5,1.6608,"Northern Europe","Europe"
2022,"United Kingdom",81.94,79.95,84.04,1.6282,"Northern Europe","Europe"
2002,"United States",NA,NA,NA,NA,"Northern America","Americas"
2022,"United States",NA,NA,NA,NA,"Northern America","Americas"
2002,"Uruguay",74.54,71.39,77.8,2.2259,"South America","Americas"
2022,"Uruguay",78.43,75.32,81.64,1.758,"South America","Americas"
2002,"Uzbekistan",69.95,67.35,72.72,2.505,"South-Central Asia","Asia"
2022,"Uzbekistan",75.35,72.73,78.16,3.0816,"South-Central Asia","Asia"
2002,"Vanuatu",68.28,66.95,69.67,4.5375,"Melanesia","Oceania"
2022,"Vanuatu",75.14,73.45,76.91,2.658,"Melanesia","Oceania"
2002,"Venezuela",72.65,69.78,75.67,2.76,"South America","Americas"
2022,"Venezuela",73.29,70.12,76.62,2.22,"South America","Americas"
2002,"Vietnam",71.75,69.17,74.46,2.28,"South-Eastern Asia","Asia"
2022,"Vietnam",75.52,72.95,78.37,2.0523,"South-Eastern Asia","Asia"
2002,"Virgin Islands, British",77.19,75.41,79.07,1.1967,"Caribbean","Americas"
2022,"Virgin Islands, British",79.67,78.17,81.25,1.3529,"Caribbean","Americas"
2002,"Virgin Islands, U.S.",77.54,74.44,80.82,2.2076,"Caribbean","Americas"
2022,"Virgin Islands, U.S.",80.27,77.08,83.65,1.998,"Caribbean","Americas"
2002,"Wallis and Futuna",76.63,74.39,78.98,2.4133,"Polynesia","Oceania"
2022,"Wallis and Futuna",80.67,77.68,83.81,1.7099,"Polynesia","Oceania"
2002,"West Bank",72.38,70.61,74.25,4.3583,"Western Asia","Asia"
2022,"West Bank",75.23,73,77.6,3.5962,"Western Asia","Asia"
2002,"Yemen",60.34,58.53,62.24,6.2484,"Western Asia","Asia"
2022,"Yemen",67.51,65.19,69.94,3.008,"Western Asia","Asia"
2002,"Zambia",47.34,46.17,48.54,5.9471,"Eastern Africa","Africa"
2022,"Zambia",66.26,64.52,68.06,4.5595,"Eastern Africa","Africa"
2002,"Zimbabwe",46.54,45.69,47.43,3.8617,"Eastern Africa","Africa"
2022,"Zimbabwe",66.43,64.84,68.07,3.558,"Eastern Africa","Africa"
